Поезд;Дата;Отправление;Прибытие;Цена
Стриж;24.10.2020;6:35;10:24;888
Ласточка;24.10.2020;7:35;11:26;555
Ласточка;24.10.2020;9:40;13:48;1695
Стриж;24.10.2020;11:05;15:09;888
Ласточка;24.10.2020;13:36;17:36;555
Стриж;24.10.2020;16:00;19:48;888
Ласточка;24.10.2020;17:55;22:10;555
Стриж;24.10.2020;18:58;22:34;2136
Стриж;24.10.2020;20:11;23:59;888
Стриж;25.10.2020;6:35;10:24;925
Ласточка;25.10.2020;7:35;11:26;1819
Ласточка;25.10.2020;9:40;13:48;1819
Стриж;25.10.2020;11:05;15:09;2710
Ласточка;25.10.2020;13:36;17:36;1819
Стриж;25.10.2020;16:00;19:48;2890
Ласточка;25.10.2020;17:55;22:10;2001
Стриж;25.10.2020;18:58;22:34;2521
Стриж;25.10.2020;20:11;23:59;2357
Стриж;26.10.2020;6:35;10:24;2710
Ласточка;26.10.2020;7:35;11:26;555
Ласточка;26.10.2020;9:40;13:48;555
Стриж;26.10.2020;11:05;15:09;2357
Ласточка;26.10.2020;13:36;17:36;555
Стриж;26.10.2020;16:00;19:48;1734
Ласточка;26.10.2020;17:55;22:10;555
Стриж;26.10.2020;18:58;22:34;1993
Стриж;26.10.2020;20:11;23:59;888
Стриж;27.10.2020;6:35;10:24;888
Ласточка;27.10.2020;7:35;11:26;555
Ласточка;27.10.2020;9:40;13:48;555
Стриж;27.10.2020;11:05;15:09;888
Ласточка;27.10.2020;13:36;17:36;555
Стриж;27.10.2020;16:00;19:48;888
Ласточка;27.10.2020;17:55;22:10;555
Стриж;27.10.2020;18:58;22:34;888
Стриж;27.10.2020;20:11;23:59;888
Стриж;28.10.2020;6:35;10:24;888
Ласточка;28.10.2020;7:35;11:26;555
Ласточка;28.10.2020;9:40;13:48;555
Стриж;28.10.2020;11:05;15:09;888
Ласточка;28.10.2020;13:36;17:36;555
Стриж;28.10.2020;16:00;19:48;888
Ласточка;28.10.2020;17:55;22:10;555
Стриж;28.10.2020;18:58;22:34;888
Стриж;28.10.2020;20:11;23:59;888
Стриж;29.10.2020;6:35;10:24;888
Ласточка;29.10.2020;7:35;11:26;555
Ласточка;29.10.2020;9:40;13:48;555
Стриж;29.10.2020;11:05;15:09;888
Ласточка;29.10.2020;13:36;17:36;555
Стриж;29.10.2020;16:00;19:48;888
Ласточка;29.10.2020;17:55;22:10;1469
Стриж;29.10.2020;18:58;22:34;888
Стриж;29.10.2020;20:11;23:59;888
Стриж;30.10.2020;6:35;10:24;888
Ласточка;30.10.2020;7:35;11:26;555
Ласточка;30.10.2020;9:40;13:48;1469
Стриж;30.10.2020;11:05;15:09;888
Ласточка;30.10.2020;13:36;17:36;1469
Стриж;30.10.2020;16:00;19:48;1851
Ласточка;30.10.2020;17:55;22:10;1469
Стриж;30.10.2020;18:58;22:34;2129
Стриж;30.10.2020;20:11;23:59;2189
Стриж;31.10.2020;6:35;10:24;888
Ласточка;31.10.2020;7:35;11:26;555
Ласточка;31.10.2020;9:40;13:48;1413
Стриж;31.10.2020;11:05;15:09;888
Ласточка;31.10.2020;13:36;17:36;555
Стриж;31.10.2020;16:00;19:48;888
Ласточка;31.10.2020;17:55;22:10;555
Стриж;31.10.2020;18:58;22:34;1781
Стриж;31.10.2020;20:11;23:59;888
Стриж;01.11.2020;6:35;10:24;2106
Ласточка;01.11.2020;7:35;11:26;1625
Ласточка;01.11.2020;9:40;13:48;1625
Стриж;01.11.2020;11:05;15:09;2421
Ласточка;01.11.2020;13:36;17:36;1625
Стриж;01.11.2020;16:00;19:48;1781
Ласточка;01.11.2020;17:55;22:10;1625
Стриж;01.11.2020;18:58;22:34;2048
Стриж;01.11.2020;20:11;23:59;2106
Стриж;02.11.2020;6:35;10:24;2227
Ласточка;02.11.2020;7:35;11:26;1300
Ласточка;02.11.2020;9:40;13:48;1300
Стриж;02.11.2020;11:05;15:09;1936
Ласточка;02.11.2020;13:36;17:36;1300
Стриж;02.11.2020;16:00;19:48;1425
Ласточка;02.11.2020;17:55;22:10;1300
Стриж;02.11.2020;18:58;22:34;1638
Стриж;02.11.2020;20:11;23:59;1936
Стриж;03.11.2020;6:35;10:24;1936
Ласточка;03.11.2020;7:35;11:26;1300
Ласточка;03.11.2020;9:40;13:48;1300
Стриж;03.11.2020;11:05;15:09;1936
Ласточка;03.11.2020;13:36;17:36;1300
Стриж;03.11.2020;16:00;19:48;1638
Ласточка;03.11.2020;17:55;22:10;1300
Стриж;03.11.2020;18:58;22:34;1638
Стриж;03.11.2020;20:11;23:59;1936
Стриж;04.11.2020;6:35;10:24;500
Ласточка;04.11.2020;7:35;11:26;250
Ласточка;04.11.2020;9:40;13:48;250
Стриж;04.11.2020;11:05;15:09;500
Ласточка;04.11.2020;13:36;17:36;250
Стриж;04.11.2020;16:00;19:48;500
Ласточка;04.11.2020;17:55;22:10;250
Стриж;04.11.2020;18:58;22:34;500
Стриж;04.11.2020;20:11;23:59;500
Стриж;05.11.2020;6:35;10:24;1936
Ласточка;05.11.2020;7:35;11:26;1300
Ласточка;05.11.2020;9:40;13:48;1300
Стриж;05.11.2020;11:05;15:09;1936
Ласточка;05.11.2020;13:36;17:36;1300
Стриж;05.11.2020;16:00;19:48;1638
Ласточка;05.11.2020;17:55;22:10;1300
Стриж;05.11.2020;18:58;22:34;1425
Стриж;05.11.2020;20:11;23:59;1936
Стриж;06.11.2020;6:35;10:24;1642
Ласточка;06.11.2020;7:35;11:26;1102
Ласточка;06.11.2020;9:40;13:48;1102
Стриж;06.11.2020;11:05;15:09;1642
Ласточка;06.11.2020;13:36;17:36;1102
Стриж;06.11.2020;16:00;19:48;1389
Ласточка;06.11.2020;17:55;22:10;1102
Стриж;06.11.2020;18:58;22:34;1597
Стриж;06.11.2020;20:11;23:59;1642
Стриж;07.11.2020;6:35;10:24;1642
Ласточка;07.11.2020;7:35;11:26;1102
Ласточка;07.11.2020;9:40;13:48;1102
Стриж;07.11.2020;11:05;15:09;1642
Ласточка;07.11.2020;13:36;17:36;1102
Стриж;07.11.2020;16:00;19:48;1389
Ласточка;07.11.2020;17:55;22:10;1102
Стриж;07.11.2020;18:58;22:34;1389
Стриж;07.11.2020;20:11;23:59;1429
Стриж;08.11.2020;6:35;10:24;1642
Ласточка;08.11.2020;7:35;11:26;1268
Ласточка;08.11.2020;9:40;13:48;1268
Стриж;08.11.2020;11:05;15:09;1889
Ласточка;08.11.2020;13:36;17:36;1268
Стриж;08.11.2020;16:00;19:48;1528
Ласточка;08.11.2020;17:55;22:10;1268
Стриж;08.11.2020;18:58;22:34;1757
Стриж;08.11.2020;20:11;23:59;1642
Стриж;09.11.2020;6:35;10:24;1889
Ласточка;09.11.2020;7:35;11:26;1102
Ласточка;09.11.2020;9:40;13:48;1102
Стриж;09.11.2020;11:05;15:09;1642
Ласточка;09.11.2020;13:36;17:36;1102
Стриж;09.11.2020;16:00;19:48;1208
Ласточка;09.11.2020;17:55;22:10;1102
Стриж;09.11.2020;18:58;22:34;1389
Стриж;09.11.2020;20:11;23:59;1642
Стриж;10.11.2020;6:35;10:24;1642
Ласточка;10.11.2020;7:35;11:26;1102
Ласточка;10.11.2020;9:40;13:48;1102
Стриж;10.11.2020;11:05;15:09;1642
Ласточка;10.11.2020;13:36;17:36;1102
Стриж;10.11.2020;16:00;19:48;1389
Ласточка;10.11.2020;17:55;22:10;1102
Стриж;10.11.2020;18:58;22:34;1389
Стриж;10.11.2020;20:11;23:59;1642
Стриж;11.11.2020;6:35;10:24;1429
Ласточка;11.11.2020;7:35;11:26;1102
Ласточка;11.11.2020;9:40;13:48;1102
Стриж;11.11.2020;11:05;15:09;1642
Ласточка;11.11.2020;13:36;17:36;1102
Стриж;11.11.2020;16:00;19:48;1389
Ласточка;11.11.2020;17:55;22:10;1102
Стриж;11.11.2020;18:58;22:34;1389
Стриж;11.11.2020;20:11;23:59;1642
Стриж;12.11.2020;6:35;10:24;1642
Ласточка;12.11.2020;7:35;11:26;1102
Ласточка;12.11.2020;9:40;13:48;1102
Стриж;12.11.2020;11:05;15:09;1642
Ласточка;12.11.2020;13:36;17:36;1102
